algorithm,dataset_type,size,rank_label,k,trial_count,median_time_seconds,mean_time_seconds,standard_deviation_seconds,minimum_time_seconds,maximum_time_seconds,comparisons,swaps,partition_calls,pivot_selections,recursive_calls,maximum_depth,groups_processed,small_group_sorts,status,error_message
Median of Medians,random,7000,minimum,1,5,0.008347875002073124,0.008332958401297219,3.671099132531882e-05,0.008274083003925625,0.00837758400302846,67169,38040,273,273,334,13,4517,4517,completed,
Median of Medians,random,7000,median,3500,5,0.008502042001055088,0.008507833599287551,6.159871973385124e-05,0.008433916998910718,0.008582292000937741,68337,38396,303,303,371,13,4629,4629,completed,
Median of Medians,random,7000,p90,6300,5,0.00828650000039488,0.008295200200518594,4.1116979277401165e-05,0.008247042002039962,0.008371749994694255,67182,35948,296,296,367,12,4578,4578,completed,
Median of Medians,random,10000,minimum,1,5,0.012257916998350993,0.012259958597132936,4.0594036012298474e-05,0.012211207998916507,0.012333374994341284,96526,56115,361,361,441,14,6485,6485,completed,
Median of Medians,random,10000,median,5000,5,0.011935374997847248,0.011951633400167338,5.160025440861059e-05,0.011908917003893293,0.012052917001710739,96701,54406,341,341,412,14,6536,6536,completed,
Median of Medians,random,10000,p90,9000,5,0.012009541998850182,0.01198202499654144,5.348680789919065e-05,0.011890249996213242,0.012028583994833753,96048,54759,353,353,431,13,6527,6527,completed,
Median of Medians,sorted,100,minimum,1,5,9.137499728240073e-05,9.141659975284711e-05,1.3193226887015153e-07,9.12910036277026e-05,9.166700328933075e-05,714,106,27,27,30,8,76,76,completed,
Median of Medians,sorted,100,median,50,5,7.175000064307824e-05,7.195020152721554e-05,8.056172293585718e-07,7.120900409063324e-05,7.345800258917734e-05,601,106,17,17,19,6,59,59,completed,
Median of Medians,sorted,100,p90,90,5,7.679199916310608e-05,7.686699973419309e-05,1.8882717655024394e-07,7.666699821129441e-05,7.71670020185411e-05,634,143,19,19,21,6,60,60,completed,
Median of Medians,sorted,1000,minimum,1,5,0.0007398750021820888,0.0007390414015389979,3.2560549494396533e-06,0.0007347499995375983,0.0007430410041706637,7085,1386,91,91,108,11,662,662,completed,
Median of Medians,sorted,1000,median,500,5,0.0007155420025810599,0.000714541798515711,2.480027499175987e-06,0.0007102919989847578,0.0007176669969339855,6821,1388,78,78,94,10,627,627,completed,
Median of Medians,sorted,1000,p90,900,5,0.0007480830026906915,0.0007488500006729737,2.255608812868062e-06,0.0007455840022885241,0.0007516249970649369,7035,1519,87,87,104,10,642,642,completed,
Median of Medians,sorted,3500,minimum,1,5,0.002558500003942754,0.00256247500074096,1.2557467716273826e-05,0.0025476250011706725,0.002584750000096392,25309,5236,198,198,241,13,2290,2290,completed,
Median of Medians,sorted,3500,median,1750,5,0.002491250001185108,0.0024901331998989917,9.051334182777481e-06,0.0024803749984130263,0.002504791002138518,24552,5188,171,171,208,12,2205,2205,completed,
Median of Medians,sorted,3500,p90,3150,5,0.0025746669998625293,0.002579666599922348,1.44877636073666e-05,0.002566125003795605,0.0026073749977513216,25281,5477,188,188,228,12,2267,2267,completed,
Median of Medians,sorted,5000,minimum,1,5,0.00359158400533488,0.0035977168023237026,1.5549937462925525e-05,0.003580875003535766,0.003620542003773153,36049,7519,220,220,265,13,3241,3241,completed,
Median of Medians,sorted,5000,median,2500,5,0.0035389999975450337,0.0035402415989665313,1.1730228460388334e-05,0.003526374995999504,0.0035555829963414,35491,7508,198,198,236,11,3172,3172,completed,
Median of Medians,sorted,5000,p90,4500,5,0.003642042000137735,0.003648333401361015,1.5376159247008643e-05,0.0036320409999461845,0.0036768750069313683,36266,7844,222,222,265,12,3240,3240,completed,
Median of Medians,sorted,7000,minimum,1,5,0.005083541997009888,0.005100450202007778,3.094941133083289e-05,0.005075375003798399,0.005160000000614673,51086,10743,297,297,356,14,4574,4574,completed,
Median of Medians,sorted,7000,median,3500,5,0.004999458004022017,0.005006949999369681,1.5538119390811662e-05,0.004990959001588635,0.005029291998653207,50237,10683,270,270,323,13,4480,4480,completed,
Median of Medians,sorted,7000,p90,6300,5,0.005080541995994281,0.005083966799429618,1.3966462151690582e-05,0.005065874996944331,0.005101833005028311,50874,10993,281,281,335,13,4531,4531,completed,
Median of Medians,sorted,10000,minimum,1,5,0.007380916002148297,0.007378641398099716,0.00012779163972646623,0.007233958000142593,0.007563749997643754,73162,15448,351,351,421,14,6525,6525,completed,
Median of Medians,sorted,10000,median,5000,5,0.007187125003838446,0.007269658600853291,0.00014288121569108357,0.007139334004023112,0.007528916998126078,72586,15449,329,329,393,13,6452,6452,completed,
Median of Medians,sorted,10000,p90,9000,5,0.007306416999199428,0.007307566798408516,2.200620497450816e-05,0.00727500000357395,0.007336041999224108,73511,15872,358,358,429,13,6531,6531,completed,
Median of Medians,reverse_sorted,100,minimum,1,5,0.0001340829985565506,0.0001340499977231957,5.093250975297316e-07,0.0001331249950453639,0.0001346669960184954,941,489,27,27,30,8,76,76,completed,
Median of Medians,reverse_sorted,100,median,50,5,0.00011579100100789219,0.0001166998001281172,1.7832075973764245e-06,0.0001156250000349246,0.00012025000614812598,839,501,18,18,21,6,60,60,completed,
Median of Medians,reverse_sorted,100,p90,90,5,0.00010874999861698598,0.00010881640046136453,1.4089920789964752e-07,0.00010870800178963691,0.00010908300464507192,782,441,19,19,22,6,58,58,completed,
Median of Medians,reverse_sorted,1000,minimum,1,5,0.0011870000016642734,0.001186266800505109,1.0797229600312646e-05,0.0011739170004148036,0.0012000839997199364,9325,5165,89,89,105,11,659,659,completed,
